horizon_step,lstm_rmse,naive_rmse
1,94.16245602138655,110.91917720689912
2,100.44725984238778,110.89867240119638
3,103.24864624356327,110.89517806903092
4,105.8820819469359,110.89400512466018
5,109.36443899996824,110.89389755771211
6,108.16518550289635,110.8875517802409
7,109.17260009828837,110.84320305688696
8,109.28207202189492,110.65021727337111
9,105.9912357338174,110.10841232869132
10,105.50437753329021,109.5366792379143
11,104.14917430472114,109.35773737113932
12,105.3582572185497,109.26182008547559
13,107.41471327406308,109.18261473740796
14,108.49621263455937,109.180527158889
15,107.31836732728375,109.14998152920711
16,107.74325652194689,109.14882292127697
17,106.95569679885672,109.12887081691589
18,105.03600159588606,109.09094958710973
19,103.4497143778996,109.0362338612665
20,103.31331536367266,109.04984345940646
21,100.16065923024763,109.05343788445545
22,98.28594736210403,109.05602860353142
23,97.34336181863583,109.05262688304302
24,98.18657556379856,109.0501964574133
25,100.5831448433678,109.0491265648758
26,102.06024377687993,109.0491461760351
27,102.5520712484336,109.04920675270483
28,103.22016537919576,109.04925992068938
29,104.1037788186595,109.0494298837448
30,102.7624107613635,109.05073946199306
31,104.02642998137526,109.059583606174
32,104.39662704595706,109.092371059753
33,104.52366057727262,109.1012762972427
34,103.80816255661884,109.05389066553285
35,103.96403863057463,109.0654466234922
36,105.50096075576191,109.08553144139132
37,107.67086645892049,109.10535426392315
38,107.86978490754667,109.16044937096939
39,107.85471477969708,109.19970735273694
40,108.05032456281204,109.23957943110965
41,107.54466187751372,109.25354431393659
42,106.51150304446968,109.30183864155656
43,105.05698778844499,109.32416530861698
44,105.11407317706083,109.32671048952933
45,102.53787835310484,109.35483698761641
46,100.49565231671438,109.35068879268852
47,99.95302140717541,109.34650219398304
48,101.91887685881717,109.34638137000671
49,105.60720788364554,109.34579289448672
50,105.60467157070507,109.34577724812243
51,104.44998487960517,109.34580593312191
52,105.05188165631698,109.34602628582152
53,106.8224573634336,109.34656738672058
54,106.32143453502421,109.35243848529558
55,106.7172263647611,109.37783977331013
56,106.87095828045905,109.50527601337187
57,107.61997972596149,109.78787298883691
58,107.96521949501691,110.04520979506748
59,108.61643990119558,110.49929627699555
60,109.31190164040292,111.17519447499342
61,111.35153338310434,111.8532014518623
62,112.53819705719279,112.68662371354374
63,113.07493162193799,113.5302948096189
64,113.75986278387585,114.43297891283241
65,114.8942286582241,115.36947090969552
66,115.89250337588742,116.20843858173463
67,115.73115318717137,116.78401202758859
68,116.61656053654578,117.14726178138417
69,116.04066900598315,117.41899957774392
70,115.78526145441712,117.53830244875063
71,115.3489363433193,117.56769138176826
72,117.21387813191026,117.56479587027806
